id	sentiment	review
1	negative	Good effort, but the pacing was too slow to keep me engaged.
2	positive	The soundtrack was phenomenal and fit perfectly with every scene.
3	positive	A solid movie with a few flaws, but overall enjoyable.
4	negative	Incredible visuals but lacking emotional depth.
5	negative	Absolutely terrible — I left the theater halfway through.
6	positive	Charming, heartfelt, and beautifully directed.
7	negative	The actors tried their best, but the script was laughably bad.
8	negative	Enjoyable, but definitely not as great as the reviews say.
9	positive	A visual masterpiece that will be remembered for years.
10	negative	Predictable story, but the humor made it watchable.
11	positive	This was one of the most touching films I've seen recently.
12	negative	Too long and boring, could have been half the length.
13	positive	The lead actor delivered a career-best performance.
14	negative	Nothing new or exciting, just another generic action film.
15	negative	Completely forgettable — I don’t even remember the ending.
16	positive	A delightful surprise! Way better than I expected.
17	positive	Average movie with good moments but weak character development.
18	positive	An inspiring and powerful story that brought me to tears.
19	negative	Not terrible, but not good either — just meh.
20	neutral	test test
21	positive	wow!
22	negative	bad.
23	neutral	hmm
24	neutral	i dont know
